  -0.03341,  -0.02303,  -0.03860,  -0.06454,   0.01589,   0.05482,  -0.04897,   0.00811,  -0.05157,   0.02368,   0.08076,  -0.12682,  -0.02822,   0.03665,  -0.05157,  -0.03081,  -0.06195,  -0.04638,   0.12228,  -0.05157,  -0.03600,   0.11969,  -0.04119,  -0.11903,  -0.05676,   0.01589,   0.12747,  -0.02043,  -0.02303,  -0.14758,  -0.09049,  -0.02043,  -0.00746,   0.00552,   0.13006,  -0.01784,  -0.00486,   0.00292,   0.03406,   0.10412,  -0.04119,   0.14044,   0.03925,   0.03925,  -0.01005,  -0.03600,   0.03665,  -0.02043,  -0.00486,   0.03146,  -0.00227,  -0.06714,   0.09374,   0.02887,  -0.02822,   0.06520,  -0.01524,  -0.04119,  -0.04379,   0.01589,   0.03146,   0.00811,   0.07298,  -0.02562
  -0.04638,   0.04184,  -0.04638,  -0.02043,   0.01849,   0.17936,  -0.01005,  -0.00746,  -0.05416,  -0.04379,  -0.10087,  -0.06195,  -0.08011,   0.03146,  -0.02562,   0.03406,   0.00811,   0.00552,  -0.05416,  -0.05676,  -0.02043,   0.09114,   0.04963,  -0.01005,   0.03146,   0.01589,   0.10931,   0.01330,   0.13525,  -0.18909,  -0.08271,  -0.02303,  -0.05157,   0.02627,  -0.04119,  -0.02043,   0.04963,  -0.06454,   0.04444,   0.03665,  -0.05416,   0.09633,   0.04184,  -0.01784,   0.04444,  -0.02303,   0.01330,   0.02368,   0.00811,  -0.04119,   0.04963,   0.02887,   0.14044,   0.18455,  -0.14239,   0.04703,  -0.05416,  -0.10087,  -0.08011,   0.06001,   0.13006,  -0.08530,  -0.05935,   0.03925
   0.03925,   0.00033,  -0.03600,   0.02108,   0.03925,  -0.02303,  -0.03600,   0.01071,   0.00292,   0.02368,   0.06520,   0.02627,   0.00552,  -0.04897,   0.02108,   0.01849,  -0.04638,  -0.05676,  -0.04119,  -0.10346,  -0.04638,  -0.01265,  -0.04119,  -0.06454,   0.01330,  -0.01784,  -0.06195,   0.01071,   0.10931,  -0.03341,  -0.07492,  -0.00227,  -0.04638,   0.03665,   0.00811,   0.00552,   0.09633,  -0.00746,  -0.02043,  -0.01524,  -0.01784,   0.04444,   0.04444,  -0.00486,  -0.03600,   0.01589,  -0.00227,  -0.05416,  -0.03341,  -0.00227,   0.05482,  -0.04638,   0.01849,  -0.03600,   0.01071,   0.05222,  -0.01784,  -0.04638,   0.04963,   0.06001,  -0.02303,  -0.04638,   0.03146,   0.05741
   0.03146,   0.04444,  -0.01265,  -0.05157,  -0.00486,   0.02627,  -0.04379,   0.02627,   0.06260,   0.00552,  -0.02303,   0.07557,  -0.08790,  -0.03081,   0.03406,  -0.04897,  -0.02822,   0.03925,  -0.02043,   0.03925,  -0.02822,  -0.02303,   0.03406,  -0.03600,   0.00811,  -0.01005,  -0.03081,   0.09633,   0.03146,  -0.02562,  -0.06454,  -0.01005,   0.03665,  -0.01784,   0.08076,  -0.04638,   0.03146,  -0.00486,   0.13525,  -0.06973,   0.06260,  -0.03860,   0.03925,   0.02887,   0.04184,   0.09374,   0.01330,   0.00292,  -0.00746,  -0.01784,   0.11450,  -0.03341,   0.00811,  -0.06195,   0.02108,   0.00292,  -0.03860,  -0.04897,  -0.06195,   0.11969,   0.08336,  -0.02562,   0.00811,   0.07557
  -0.02822,   0.01589,  -0.03600,  -0.08271,   0.01071,  -0.01524,   0.02368,   0.00033,  -0.00746,   0.01849,  -0.03081,   0.01330,  -0.07492,   0.00292,   0.04444,   0.00552,   0.08076,  -0.01265,   0.13266,   0.02108,  -0.02043,   0.09893,   0.03925,  -0.05676,  -0.01005,   0.02108,   0.06260,  -0.05935,  -0.00746,  -0.00486,   0.03146,   0.02627,   0.00292,   0.01589,   0.01071,  -0.04379,  -0.08530,   0.05222,   0.10152,  -0.01524,   0.00552,  -0.01784,   0.03665,  -0.02562,   0.04703,  -0.08271,   0.02108,  -0.03081,  -0.00486,  -0.02822,   0.03925,  -0.00746,   0.05741,   0.04963,   0.01849,   0.03925,   0.04184,   0.07817,   0.04963,  -0.04897,  -0.02043,  -0.03341,  -0.04379,   0.03406
   0.01589,   0.01589,   0.00811,   0.04444,   0.00033,   0.07038,   0.00811,  -0.05676,  -0.03600,  -0.00746,  -0.03081,  -0.10865,   0.08855,  -0.05676,   0.00811,  -0.02043,  -0.01005,  -0.02303,   0.03146,   0.02887,  -0.03081,   0.02368,  -0.04119,  -0.00486,   0.03406,   0.02627,   0.01071,  -0.04897,   0.00552,   0.02108,  -0.00486,   0.01849,   0.04444,  -0.03081,  -0.04638,   0.06001,  -0.04897,   0.01330,  -0.01265,  -0.03341,   0.02887,   0.08336,   0.01589,   0.00292,   0.01071,  -0.12163,  -0.04119,  -0.04379,   0.01330,  -0.05157,  -0.01265,  -0.01784,   0.07298,   0.06001,  -0.02822,  -0.03860,   0.11969,   0.00292,   0.01330,  -0.15017,  -0.03081,   0.06520,  -0.04379,  -0.00746
   0.00033,  -0.01005,  -0.01005,   0.03406,  -0.04379,   0.01589,  -0.01784,  -0.02043,  -0.04638,   0.07557,  -0.06714,  -0.02562,   0.06001,  -0.04119,   0.03146,  -0.03081,  -0.00486,   0.02108,  -0.03341,  -0.05416,  -0.05157,   0.12487,  -0.04379,   0.00292,  -0.01005,   0.03146,  -0.05416,  -0.05416,   0.04444,  -0.03341,  -0.04638,  -0.00227,  -0.01524,   0.00292,   0.00292,   0.19493,  -0.09568,  -0.01784,  -0.03081,  -0.03860,   0.13785,   0.06520,   0.05482,   0.01071,   0.00033,  -0.01265,  -0.02043,   0.00552,  -0.04638,   0.03146,  -0.03081,  -0.05157,   0.03925,   0.01071,   0.02108,  -0.03600,   0.09633,   0.06779,  -0.06714,   0.00811,  -0.04119,  -0.09568,   0.00292,   0.04444
  -0.02303,  -0.01784,   0.01849,  -0.02043,  -0.02303,   0.04444,  -0.02562,  -0.01005,  -0.05157,   0.02887,   0.04444,   0.02108,  -0.01524,   0.03665,  -0.06973,   0.00033,  -0.04119,  -0.05935,  -0.02303,   0.02368,  -0.03600,   0.00292,   0.00811,  -0.02043,  -0.05416,   0.01589,   0.02368,   0.03146,  -0.01005,   0.01071,  -0.02043,  -0.01265,  -0.03341,   0.02108,   0.01849,   0.06260,  -0.02303,  -0.02822,  -0.08271,  -0.02303,  -0.01784,   0.02887,   0.04963,  -0.00746,  -0.02043,  -0.05935,  -0.02303,   0.01071,  -0.02822,   0.03146,   0.02887,  -0.03341,   0.02368,   0.06001,   0.05482,   0.01330,   0.00552,  -0.07233,   0.03665,   0.04444,  -0.03600,   0.01589,  -0.00227,   0.03665
   0.03406,   0.02627,  -0.02303,  -0.03081,   0.01330,   0.03665,   0.02627,   0.01330,   0.03406,  -0.01784,  -0.02303,   0.06001,  -0.08790,  -0.01784,   0.05482,   0.03146,  -0.03600,  -0.00746,   0.06779,   0.04184,   0.00811,   0.04444,  -0.02562,  -0.00746,  -0.00486,  -0.00746,  -0.05416,  -0.02043,   0.06779,   0.01849,  -0.01524,  -0.04379,   0.06260,   0.03665,   0.02627,  -0.03600,   0.01071,   0.02108,   0.08595,  -0.10087,   0.01071,  -0.02562,   0.08336,   0.02627,   0.04184,   0.02627,   0.02108,   0.03406,   0.03925,   0.02368,   0.01849,  -0.01005,  -0.01524,  -0.06973,   0.00292,   0.04184,   0.01589,  -0.00486,   0.00292,   0.10931,   0.01330,  -0.03341,  -0.01005,   0.00552
   0.01071,  -0.00746,   0.00552,  -0.03600,  -0.02562,  -0.01005,   0.01589,  -0.03081,   0.14304,  -0.00746,   0.00033,  -0.02822,  -0.08530,   0.02627,   0.05482,  -0.03081,   0.01849,  -0.01005,   0.07038,   0.06001,   0.00811,  -0.01784,  -0.03860,   0.05222,   0.00292,  -0.05416,   0.01330,  -0.02562,  -0.01784,   0.14304,   0.04184,  -0.05676,  -0.00227,  -0.02562,  -0.02303,  -0.05935,  -0.09568,   0.14304,  -0.00486,  -0.01784,   0.02108,  -0.13201,   0.03406,   0.01589,  -0.04379,   0.02108,  -0.03860,  -0.04119,  -0.02562,  -0.01784,  -0.02043,   0.00292,   0.04703,  -0.03600,   0.03665,   0.02887,   0.03406,   0.11190,  -0.06454,  -0.03341,  -0.00227,  -0.00227,  -0.02562,  -0.04379
  -0.03081,   0.01589,  -0.01784,   0.09633,  -0.01005,   0.04703,   0.01589,  -0.03860,  -0.01524,  -0.01005,   0.06779,   0.03406,   0.02368,  -0.03081,   0.02368,  -0.04379,   0.07298,  -0.03341,   0.05741,   0.06779,   0.00811,   0.00552,  -0.00227,   0.10671,   0.00292,  -0.02303,  -0.00227,   0.01849,  -0.02043,   0.09893,   0.06520,  -0.00486,   0.07298,   0.00033,  -0.13720,   0.01849,   0.08595,   0.03146,  -0.20726,   0.08076,  -0.06714,  -0.05935,  -0.00486,  -0.00746,  -0.00746,  -0.04379,   0.00033,   0.00292,  -0.04638,   0.03406,  -0.02822,  -0.06195,   0.03146,   0.11709,  -0.05157,  -0.05157,   0.06001,  -0.00227,   0.01849,  -0.14498,  -0.01265,   0.05482,  -0.13460,  -0.07752
   0.04184,  -0.04638,   0.02368,   0.03406,  -0.03081,  -0.01784,  -0.04897,  -0.05676,   0.07298,  -0.14498,  -0.05416,   0.08076,   0.02627,  -0.03860,  -0.13201,  -0.00486,  -0.02303,   0.01849,  -0.04638,   0.10152,   0.03406,  -0.09309,   0.01589,   0.03406,  -0.03341,   0.03146,   0.06260,   0.07817,  -0.04379,   0.06520,   0.02368,   0.00292,   0.06001,   0.02108,  -0.07752,  -0.04119,   0.05741,  -0.04897,  -0.07752,   0.12487,  -0.03081,  -0.01265,   0.03146,  -0.02562,   0.03925,   0.10412,   0.03925,  -0.04119,   0.01589,  -0.00486,   0.07557,   0.01589,  -0.12163,   0.02108,   0.03146,  -0.06714,  -0.04379,   0.01330,  -0.06454,  -0.04119,  -0.06714,   0.12747,  -0.20466,   0.00033
  -0.02303,  -0.04119,   0.01071,  -0.03600,   0.02108,   0.03406,  -0.02303,   0.01330,   0.07038,  -0.04119,   0.01330,  -0.05935,   0.04184,   0.00552,  -0.01524,  -0.05416,  -0.00486,  -0.04638,   0.04963,   0.00033,   0.04444,  -0.01524,  -0.05416,   0.02368,  -0.03341,  -0.02562,   0.02368,   0.02627,   0.01330,   0.01071,   0.01849,  -0.02043,   0.06520,  -0.00486,  -0.04119,  -0.04638,  -0.03860,   0.01330,   0.03665,  -0.01524,   0.02108,  -0.00486,   0.03925,  -0.00227,  -0.02303,  -0.04379,  -0.03341,  -0.01524,   0.02627,   0.01330,  -0.01524,   0.00552,  -0.00746,   0.02627,   0.01330,   0.00033,   0.02108,  -0.01005,   0.01330,  -0.05676,  -0.02562,  -0.04638,  -0.01265,  -0.02562
   0.01330,  -0.01005,  -0.05935,  -0.01524,   0.02887,   0.06260,  -0.02562,  -0.02822,   0.04963,   0.03406,   0.05741,   0.02108,  -0.00227,   0.00033,  -0.02562,  -0.03081,  -0.01005,  -0.02562,  -0.03341,   0.00033,   0.04184,   0.03665,   0.01849,   0.02627,  -0.04638,   0.02368,   0.06001,   0.04703,  -0.02562,   0.02108,   0.02887,  -0.03860,  -0.01265,   0.02627,  -0.01524,   0.00033,  -0.01524,  -0.00227,   0.01849,   0.00811,   0.02887,   0.03146,   0.01589,   0.02887,  -0.03341,  -0.01005,  -0.04638,  -0.01265,   0.03665,  -0.03081,   0.06520,   0.02368,   0.05741,   0.00811,  -0.03600,  -0.02303,   0.00811,  -0.02303,   0.02627,   0.00292,   0.03665,   0.02108,   0.02627,   0.04184
  -0.00746,   0.04444,  -0.00746,  -0.03600,  -0.00746,  -0.02043,  -0.02562,  -0.01265,   0.03665,   0.01071,   0.15342,  -0.04379,  -0.06973,  -0.02043,   0.02887,  -0.03081,   0.09633,  -0.04379,   0.01071,  -0.10346,   0.00292,   0.02887,  -0.01265,  -0.03600,  -0.05157,   0.01849,   0.04184,  -0.00746,  -0.06195,   0.03406,   0.09374,   0.01589,   0.03406,   0.03146,  -0.03860,  -0.04638,  -0.02303,  -0.01524,  -0.00227,   0.01849,  -0.01265,  -0.02303,   0.05222,   0.02108,  -0.04638,  -0.07233,   0.01849,  -0.05157,   0.01330,   0.04444,   0.01589,   0.00033,   0.13525,   0.04184,   0.04963,   0.03146,   0.05741,   0.05741,   0.01071,   0.04444,   0.04444,   0.04184,   0.02627,   0.06779
   0.00033,   0.00033,  -0.03081,  -0.10606,   0.01071,   0.01849,   0.01849,  -0.04897,   0.00292,   0.12228,   0.07557,   0.04963,  -0.05935,  -0.02043,   0.10152,  -0.02303,   0.00292,  -0.05157,  -0.06973,  -0.06454,   0.00292,   0.04444,  -0.05416,  -0.03081,  -0.04897,  -0.01524,  -0.05676,   0.01849,  -0.00486,  -0.02562,   0.03665,  -0.04897,  -0.15017,  -0.04379,  -0.03600,  -0.05935,  -0.06454,  -0.12682,   0.01071,  -0.01265,   0.04444,   0.03665,  -0.07233,  -0.04638,  -0.04638,   0.04444,   0.00292,  -0.02562,  -0.04897,   0.02108,   0.02108,  -0.02822,   0.10671,  -0.04897,   0.02368,   0.07038,   0.08855,   0.01849,  -0.02303,   0.00033,   0.16380,  -0.00227,   0.06001,   0.10412
   0.03925,   0.00552,  -0.03600,  -0.15795,  -0.00486,  -0.04119,  -0.04119,  -0.02562,   0.05482,   0.08336,   0.06779,   0.06001,   0.04184,   0.01330,   0.09114,  -0.02562,   0.01330,   0.05222,  -0.11644,  -0.01784,   0.01849,   0.00552,  -0.03341,  -0.02822,  -0.04379,  -0.04119,  -0.10087,  -0.03341,  -0.08271,   0.08336,   0.13525,  -0.01784,  -0.10087,  -0.01265,  -0.06714,   0.06001,  -0.15795,  -0.13460,   0.01071,   0.00552,   0.04444,  -0.04638,  -0.12941,   0.00552,  -0.02562,   0.00033,   0.01589,  -0.02303,   0.01330,  -0.01005,   0.09893,  -0.04638,   0.12487,  -0.07492,   0.14304,   0.05222,   0.10931,   0.01849,  -0.00746,  -0.06973,   0.15082,   0.09114,   0.01849,   0.17677
  -0.03081,  -0.03600,   0.01071,   0.00811,   0.03665,  -0.07752,  -0.03081,  -0.01005,   0.02368,  -0.09049,   0.00811,   0.08855,   0.04444,  -0.00486,  -0.09568,  -0.04897,   0.04444,  -0.02043,   0.01071,  -0.11903,   0.02368,  -0.07233,  -0.02303,   0.01849,   0.03146,  -0.02562,   0.03925,   0.05482,  -0.00746,   0.05482,  -0.02822,  -0.00746,   0.11969,   0.03406,  -0.04379,  -0.08011,  -0.00486,  -0.00746,   0.00552,   0.04444,  -0.05157,   0.05482,  -0.06454,  -0.00227,  -0.04638,   0.04703,   0.03406,  -0.00227,  -0.02303,   0.03146,   0.05741,  -0.05935,  -0.02562,   0.08076,   0.09893,   0.03406,   0.00811,  -0.00227,  -0.05416,   0.00811,   0.02627,   0.02108,  -0.02043,   0.03146
  -0.04897,  -0.04897,   0.03406,   0.05741,  -0.03860,   0.01330,   0.03406,   0.02887,  -0.05935,  -0.05935,   0.08595,  -0.02043,  -0.00227,  -0.04638,  -0.12422,  -0.03860,   0.04184,   0.03925,  -0.05935,  -0.05935,   0.03925,   0.02627,   0.01330,  -0.02822,   0.03925,   0.03665,   0.08336,  -0.03860,  -0.09568,   0.16899,  -0.01005,   0.01589,   0.07298,  -0.02043,  -0.03341,  -0.07492,  -0.01524,  -0.00227,  -0.05935,   0.16120,  -0.08011,   0.08595,  -0.03600,  -0.03860,  -0.02822,  -0.00746,   0.01330,  -0.01005,   0.01071,  -0.05157,  -0.05676,  -0.05416,  -0.00227,   0.01071,  -0.05416,   0.05741,   0.04184,   0.04444,   0.01071,  -0.03341,   0.04703,   0.09633,  -0.01784,   0.03665
   0.01849,   0.01589,  -0.06195,   0.12487,   0.00292,  -0.01524,  -0.01005,  -0.06195,  -0.10606,  -0.04379,   0.17418,   0.04444,   0.03665,  -0.01005,  -0.09828,  -0.01524,   0.04963,  -0.04379,  -0.02562,  -0.12422,   0.01849,   0.02368,  -0.05157,  -0.06195,   0.02887,  -0.00746,   0.05222,  -0.00227,   0.01330,   0.15082,   0.07298,   0.00033,   0.06520,   0.02368,  -0.03860,  -0.04119,   0.09893,  -0.01784,  -0.03860,   0.21569,  -0.14239,   0.04963,  -0.02043,   0.03925,   0.04444,  -0.04379,   0.03665,  -0.00746,   0.00033,   0.03925,  -0.11125,  -0.05416,   0.01330,   0.01849,   0.00292,   0.01071,  -0.01524,   0.06001,   0.03925,  -0.01784,   0.01330,   0.14823,  -0.00486,   0.04444
  -0.03081,  -0.03341,  -0.04638,   0.04444,   0.03146,   0.10412,  -0.02043,  -0.06714,  -0.14758,  -0.00227,   0.02887,   0.02368,   0.07557,  -0.00227,   0.02368,   0.03406,   0.03925,   0.03665,  -0.02822,   0.02887,  -0.04379,   0.03146,  -0.00486,  -0.08011,   0.03665,  -0.01524,   0.13266,   0.09374,   0.01330,  -0.02822,   0.08595,   0.00292,  -0.10087,   0.03406,   0.04444,   0.05482,   0.14823,  -0.08011,   0.06520,   0.17158,  -0.09568,   0.02368,   0.02887,  -0.02043,   0.01330,   0.00811,   0.00811,   0.01589,   0.01849,  -0.04638,  -0.00486,  -0.04119,   0.11709,   0.05222,  -0.11903,   0.13785,  -0.03860,  -0.00486,   0.02887,   0.11709,   0.12228,   0.05741,   0.11190,  -0.00486
   0.01589,   0.03665,   0.00811,  -0.11644,  -0.01265,   0.15861,   0.01849,  -0.03600,   0.03665,   0.01849,   0.04184,  -0.03600,  -0.06714,  -0.04119,   0.08595,   0.03925,  -0.00746,  -0.00746,  -0.04119,  -0.00227,  -0.00746,   0.10412,  -0.01265,   0.00552,   0.04184,  -0.02822,   0.14823,   0.04184,   0.06520,  -0.06973,   0.02887,  -0.03081,  -0.15536,  -0.04897,   0.00292,  -0.05935,   0.04703,  -0.08530,   0.02627,   0.13006,  -0.03860,   0.07557,   0.01071,  -0.04119,   0.00552,   0.04963,  -0.02822,  -0.03600,  -0.01784,  -0.02043,  -0.00486,  -0.02822,   0.13006,   0.14304,  -0.11903,   0.13006,  -0.07492,   0.02627,  -0.05416,   0.08336,   0.16380,  -0.06454,   0.06520,   0.02887
  -0.03341,  -0.00486,  -0.01265,  -0.03341,  -0.04638,  -0.03600,  -0.05157,  -0.00486,  -0.04897,  -0.07492,  -0.05935,   0.04444,  -0.02562,  -0.00486,   0.00033,   0.00033,  -0.02562,   0.00552,   0.00811,  -0.01005,  -0.01265,  -0.04638,  -0.04638,  -0.02822,  -0.01005,   0.03406,  -0.01005,   0.08336,   0.06520,  -0.03081,  -0.05416,  -0.01265,   0.00811,   0.00033,   0.05482,   0.01589,   0.04184,  -0.03600,   0.02627,  -0.02822,   0.00033,   0.06520,  -0.02822,  -0.00227,  -0.02043,   0.10412,  -0.00227,   0.03406,  -0.02303,  -0.03081,   0.06520,  -0.02303,  -0.05416,   0.02368,   0.06260,   0.03406,  -0.00486,  -0.02043,   0.00552,   0.07298,   0.02887,  -0.07492,  -0.02303,   0.04184
   0.04444,   0.02887,   0.00033,   0.06001,  -0.04119,   0.04963,  -0.04379,   0.00811,  -0.06195,   0.01589,  -0.14758,  -0.09309,   0.01849,   0.00811,   0.04184,   0.02887,  -0.11903,  -0.01005,   0.01589,   0.08336,  -0.04638,   0.06520,   0.01589,   0.00811,  -0.02303,   0.00811,  -0.12163,  -0.02043,   0.09893,  -0.05416,  -0.12941,   0.02627,  -0.12941,  -0.03600,   0.12487,   0.05482,   0.01589,   0.11190,  -0.01784,   0.00033,   0.15342,   0.09114,   0.12747,  -0.01524,  -0.01524,   0.16639,  -0.00227,  -0.01784,  -0.01265,  -0.04119,  -0.03600,  -0.00227,  -0.08271,  -0.02303,  -0.02822,   0.08855,  -0.10606,   0.02108,   0.04703,   0.10412,  -0.05157,  -0.08011,   0.11969,  -0.02822
  -0.02562,   0.05222,  -0.04897,   0.07817,   0.00292,  -0.03081,   0.00811,  -0.01005,  -0.02303,  -0.06714,  -0.08790,   0.06260,   0.03146,   0.01849,  -0.04897,  -0.05416,   0.00033,   0.01330,   0.00033,  -0.02043,  -0.04119,  -0.09049,   0.02627,  -0.02043,   0.02368,   0.02627,  -0.02043,   0.03146,   0.14823,  -0.08271,  -0.11903,  -0.05935,   0.07817,  -0.01784,   0.06520,   0.01071,   0.13785,   0.13266,   0.13266,   0.01849,   0.00292,   0.02887,   0.12747,  -0.03081,   0.02108,   0.06001,  -0.04638,   0.03146,  -0.00486,   0.03925,   0.00552,   0.00552,  -0.07752,  -0.07752,   0.02368,   0.04184,  -0.11125,   0.07298,  -0.00227,   0.06260,  -0.02822,  -0.08011,  -0.06973,   0.05741
   0.01330,   0.01849,  -0.03081,   0.06520,  -0.02822,   0.05222,  -0.05157,  -0.05676,  -0.03600,   0.01071,  -0.10865,   0.03406,   0.08076,   0.00811,  -0.04379,   0.02627,  -0.02562,  -0.04379,  -0.02303,  -0.02822,  -0.01265,  -0.04897,  -0.04379,  -0.06195,  -0.00486,  -0.02303,   0.02627,   0.07557,   0.01071,  -0.08011,  -0.02562,   0.03925,  -0.02043,   0.02108,  -0.00486,   0.11709,   0.07557,  -0.05416,   0.05482,   0.01849,   0.02108,   0.04184,   0.10671,  -0.01524,   0.00811,   0.02887,  -0.02043,   0.02368,  -0.01784,  -0.02822,  -0.02822,   0.03146,   0.01849,   0.03925,  -0.05935,  -0.03860,   0.02368,  -0.09309,   0.00552,   0.00033,   0.05482,  -0.00227,  -0.00227,   0.02368
  -0.05157,  -0.04379,  -0.05676,  -0.02822,  -0.02562,   0.10671,   0.02368,  -0.00227,  -0.06714,  -0.02562,  -0.02303,   0.04703,  -0.02043,  -0.03341,  -0.00486,  -0.04119,   0.08595,   0.02108,   0.04444,  -0.05416,  -0.01524,   0.08336,  -0.03860,  -0.03600,  -0.05157,  -0.05416,   0.03406,   0.01849,   0.10152,  -0.05416,  -0.07233,  -0.05416,   0.01071,  -0.03860,   0.02627,   0.01849,   0.06260,  -0.04119,   0.08076,   0.01589,  -0.06454,   0.07038,   0.06001,   0.02887,   0.01849,   0.00552,  -0.04119,   0.01849,   0.02887,  -0.02043,  -0.01524,  -0.02043,   0.04963,   0.05741,  -0.00227,   0.07817,  -0.03860,  -0.09049,  -0.05676,   0.02108,   0.03406,  -0.03341,  -0.01784,   0.01589
  -0.00746,   0.01589,   0.00033,  -0.06195,  -0.02562,  -0.05157,   0.01589,  -0.04119,   0.07817,  -0.02562,  -0.09049,   0.09633,  -0.04379,  -0.05157,  -0.04379,   0.01071,   0.03665,  -0.00746,  -0.01005,   0.06001,   0.02368,  -0.00227,   0.03146,   0.05482,  -0.03600,  -0.04379,   0.03146,   0.02887,  -0.01005,   0.04703,   0.05741,  -0.00486,  -0.01524,   0.00811,   0.03146,  -0.02303,   0.02108,   0.02108,   0.02368,  -0.08011,   0.00033,  -0.03341,   0.00292,   0.01330,  -0.00486,   0.01071,   0.03925,  -0.05416,   0.03406,  -0.04897,   0.07298,  -0.00486,  -0.01005,  -0.01005,   0.03146,  -0.07233,  -0.03860,  -0.03860,   0.01589,   0.04444,  -0.02822,  -0.00746,  -0.04897,   0.03146
  -0.03860,  -0.04119,  -0.05157,   0.00552,  -0.02562,   0.14563,  -0.04897,   0.01071,   0.03665,   0.05482,  -0.07233,   0.07817,  -0.07233,   0.02627,   0.01330,   0.03146,   0.00811,   0.01849,  -0.01265,   0.08855,  -0.04379,   0.03925,  -0.02822,   0.02108,  -0.03600,   0.02627,   0.03146,   0.04963,   0.07557,  -0.09828,   0.06260,   0.03925,  -0.10346,  -0.01524,   0.02887,   0.03406,   0.05482,  -0.06714,   0.08076,  -0.06714,   0.06260,  -0.05676,   0.08595,   0.02887,  -0.03341,   0.08855,  -0.04897,  -0.01265,  -0.02562,  -0.03600,   0.05741,   0.00811,   0.01849,   0.02108,  -0.04119,  -0.03860,  -0.05416,  -0.04638,  -0.02303,   0.09893,   0.08336,  -0.06973,   0.01071,  -0.07492
   0.01330,   0.04184,  -0.04638,  -0.05676,   0.03925,   0.13006,  -0.03860,   0.01071,   0.00811,   0.03146,  -0.03081,  -0.01265,   0.01071,   0.00033,  -0.08011,  -0.03081,   0.04703,   0.01330,  -0.02303,  -0.00486,  -0.00227,   0.03665,   0.02368,  -0.06973,  -0.02562,   0.00552,   0.09893,   0.08595,  -0.05935,  -0.13201,   0.10671,  -0.05676,  -0.03860,  -0.01005,  -0.09309,   0.04703,   0.01849,  -0.02562,   0.02108,   0.01330,  -0.01524,  -0.03860,   0.12228,  -0.04638,  -0.02043,  -0.06973,  -0.04638,  -0.02043,   0.02887,  -0.01005,   0.10931,   0.03406,   0.07817,   0.08336,   0.01330,  -0.07233,   0.08855,  -0.11384,   0.01071,   0.00811,   0.05482,   0.03665,  -0.08530,   0.05482
   0.00033,   0.02108,   0.01589,   0.10412,  -0.04897,   0.04963,  -0.01265,  -0.02043,  -0.07752,  -0.10087,   0.01330,   0.04184,   0.02887,   0.01071,  -0.18390,   0.00033,   0.04444,  -0.00227,   0.01071,  -0.02562,   0.01589,   0.02627,  -0.01265,  -0.00486,   0.03665,   0.00811,   0.09893,   0.08336,  -0.00227,   0.09893,  -0.04119,   0.02108,   0.08336,  -0.04638,  -0.00227,   0.08336,   0.10412,   0.01071,  -0.04379,   0.06260,  -0.06454,   0.07038,   0.07038,   0.01071,   0.00552,  -0.01784,   0.04184,   0.02108,   0.02108,  -0.05416,   0.07557,  -0.05416,  -0.06195,   0.09374,   0.03146,  -0.00227,   0.02887,  -0.11644,   0.03406,  -0.01784,  -0.00746,   0.07817,  -0.12422,   0.01330
  -0.03860,   0.04184,   0.01589,   0.06520,  -0.03600,   0.03925,  -0.02043,   0.02887,   0.05741,  -0.00486,  -0.03860,  -0.03341,   0.05482,   0.03406,  -0.02562,  -0.02822,   0.06260,  -0.04379,  -0.01005,  -0.01524,   0.02887,  -0.03081,  -0.04638,   0.01589,   0.00033,   0.02887,  -0.04119,   0.01071,   0.07038,   0.01589,   0.00552,  -0.03600,   0.05741,   0.02108,  -0.04119,   0.06260,  -0.00746,  -0.00746,   0.00811,   0.01589,   0.06779,  -0.01784,  -0.04897,   0.01849,  -0.02043,  -0.03081,   0.04444,  -0.03600,   0.04444,   0.04184,  -0.05676,   0.02108,  -0.01524,   0.03665,   0.02627,  -0.03081,   0.07298,  -0.05416,  -0.06195,  -0.05157,  -0.01265,   0.02368,  -0.06973,  -0.02303
   0.00292,  -0.01005,   0.00292,  -0.04638,  -0.05157,  -0.02822,   0.02368,   0.01071,   0.02887,   0.14044,   0.03406,  -0.03341,  -0.05416,  -0.03081,   0.06001,  -0.00227,  -0.00486,  -0.02822,   0.06779,  -0.00746,  -0.05157,   0.07557,   0.02368,   0.10412,  -0.00227,  -0.03600,   0.06779,  -0.12163,   0.07557,   0.06260,   0.03665,  -0.00746,  -0.02822,  -0.00486,  -0.01784,   0.10931,  -0.12682,   0.10671,   0.06520,  -0.04897,   0.08336,  -0.03081,   0.04703,  -0.03860,  -0.04119,  -0.10346,   0.02887,   0.02887,   0.02887,  -0.03081,  -0.08530,   0.03406,   0.02627,  -0.00746,  -0.05416,  -0.01784,   0.05482,   0.13266,  -0.04638,   0.00033,   0.03146,  -0.02303,  -0.03600,  -0.02303
